epoch	loss	acc	lr	f1_score.avg
0	tensor(0.2286, device='cuda:0')	0.91796357209485	5e-05	0.9180111537368575
1	tensor(0.2209, device='cuda:0')	0.9215474495556973	5e-05	0.9215895851094063
2	tensor(0.2188, device='cuda:0')	0.9205164711080563	5e-05	0.9205601733447007
3	tensor(0.2163, device='cuda:0')	0.9227748048505081	5e-05	0.9227049587951119
4	tensor(0.2124, device='cuda:0')	0.9221365800972066	5e-05	0.9220897271952262
5	tensor(0.2117, device='cuda:0')	0.9231430114389514	5e-05	0.9230726058539362
6	tensor(0.2118, device='cuda:0')	0.924370366733762	5e-05	0.9243311310031259
7	tensor(0.2112, device='cuda:0')	0.9235357651332908	5e-05	0.9235198209718671
8	tensor(0.2077, device='cuda:0')	0.925278609651922	5e-05	0.9252930520034103
9	tensor(0.2064, device='cuda:0')	0.9264814178408366	5e-05	0.9264499857914182
10	tensor(0.1961, device='cuda:0')	0.9311208208552212	2.5e-05	0.9311263853367436
11	tensor(0.1954, device='cuda:0')	0.9313908390200796	2.5e-05	0.9313519465757315
12	tensor(0.1905, device='cuda:0')	0.9319308753497962	2.5e-05	0.93195723216823
13	tensor(0.1896, device='cuda:0')	0.9325936472089941	2.5e-05	0.9325639386189266
14	tensor(0.1896, device='cuda:0')	0.9323972703618243	2.5e-05	0.9323788718385904
15	tensor(0.1894, device='cuda:0')	0.9329127595856449	2.5e-05	0.9329486359761301
16	tensor(0.1879, device='cuda:0')	0.9324463645736167	2.5e-05	0.9324389030974706
17	tensor(0.1881, device='cuda:0')	0.9327163827384751	2.5e-05	0.9326644643364599
18	tensor(0.1854, device='cuda:0')	0.9337473611861161	2.5e-05	0.9337489343563513
19	tensor(0.1819, device='cuda:0')	0.934189209092248	2.5e-05	0.9342671923841998
20	tensor(0.1777, device='cuda:0')	0.9374048799646522	1.25e-05	0.9374339300937765
21	tensor(0.1752, device='cuda:0')	0.9376012568118219	1.25e-05	0.9376300085251493
22	tensor(0.1754, device='cuda:0')	0.9379203691884727	1.25e-05	0.937926612674055
23	tensor(0.1755, device='cuda:0')	0.9380431047179537	1.25e-05	0.9380381500426253
24	tensor(0.1740, device='cuda:0')	0.9369875791644166	1.25e-05	0.9369842284739983
25	tensor(0.1735, device='cuda:0')	0.9389268005302175	1.25e-05	0.9388874680306901
26	tensor(0.1726, device='cuda:0')	0.9383867642005007	1.25e-05	0.9383702756464904
27	tensor(0.1709, device='cuda:0')	0.939221365800972	1.25e-05	0.9392036089798239
28	tensor(0.1732, device='cuda:0')	0.9396141194953115	1.25e-05	0.9396508240977548
29	tensor(0.1730, device='cuda:0')	0.9378958220825765	1.25e-05	0.9379131145211708
30	tensor(0.1708, device='cuda:0')	0.9393686484363494	6.25e-06	0.9393947144075026
31	tensor(0.1679, device='cuda:0')	0.939442289754038	6.25e-06	0.9394902671213414
32	tensor(0.1663, device='cuda:0')	0.9403014384604055	6.25e-06	0.9403150753054846
33	tensor(0.1658, device='cuda:0')	0.9417742648141784	6.25e-06	0.941719593634555
34	tensor(0.1652, device='cuda:0')	0.9408905690019147	6.25e-06	0.9408592639954536
35	tensor(0.1648, device='cuda:0')	0.9407187392606412	6.25e-06	0.9406987070190395
36	tensor(0.1670, device='cuda:0')	0.9411605871667731	6.25e-06	0.9412059533958506
37	tensor(0.1665, device='cuda:0')	0.9410869458490844	6.25e-06	0.9410883773799379
38	tensor(0.1633, device='cuda:0')	0.9422406598262065	6.25e-06	0.942251349815289
39	tensor(0.1641, device='cuda:0')	0.9416760763905936	6.25e-06	0.941698635976129
40	tensor(0.1640, device='cuda:0')	0.9420197358731406	3.125e-06	0.942030761579994
41	tensor(0.1623, device='cuda:0')	0.9415042466493201	3.125e-06	0.9415160556976409
42	tensor(0.1625, device='cuda:0')	0.9423143011438951	3.125e-06	0.9423028559249786
43	tensor(0.1640, device='cuda:0')	0.9416024350729049	3.125e-06	0.9416030832622903
44	tensor(0.1611, device='cuda:0')	0.9429279787913005	3.125e-06	0.9429266126740551
45	tensor(0.1640, device='cuda:0')	0.9412342284844617	3.125e-06	0.9411583546462065
46	tensor(0.1633, device='cuda:0')	0.9414306053316314	3.125e-06	0.9414315146348391
47	tensor(0.1596, device='cuda:0')	0.944130786980215	3.125e-06	0.9441826513213986
48	tensor(0.1591, device='cuda:0')	0.9439589572389415	3.125e-06	0.9439780477408359
49	tensor(0.1594, device='cuda:0')	0.9444253522509696	3.125e-06	0.9443996874111954
