epoch	batch	iter	loss	acc	lr	Failure_case_True	Failure_case_Pred
0	1	-407	tensor(0.0296, device='cuda:0')	0.99	1e-06	[13]	[0]
0	2	-406	tensor(0.0349, device='cuda:0')	0.99	1e-06	[0]	[16]
0	3	-405	tensor(0.0481, device='cuda:0')	0.99	1e-06	[0]	[15]
0	4	-404	tensor(0.0600, device='cuda:0')	0.98	1e-06	[5 9]	[ 6 11]
0	5	-403	tensor(0.0117, device='cuda:0')	1.0	1e-06	[]	[]
0	6	-402	tensor(0.0494, device='cuda:0')	0.99	1e-06	[7]	[0]
0	7	-401	tensor(0.0471, device='cuda:0')	0.99	1e-06	[0]	[13]
0	8	-400	tensor(0.0356, device='cuda:0')	0.99	1e-06	[12]	[11]
0	9	-399	tensor(0.1303, device='cuda:0')	0.97	1e-06	[12  5  0]	[11  0 16]
0	10	-398	tensor(0.0441, device='cuda:0')	0.99	1e-06	[8]	[0]
0	11	-397	tensor(0.0131, device='cuda:0')	1.0	1e-06	[]	[]
0	12	-396	tensor(0.0186, device='cuda:0')	1.0	1e-06	[]	[]
0	13	-395	tensor(0.0637, device='cuda:0')	0.99	1e-06	[0]	[16]
0	14	-394	tensor(0.0165, device='cuda:0')	1.0	1e-06	[]	[]
0	15	-393	tensor(0.0188, device='cuda:0')	0.99	1e-06	[5]	[7]
0	16	-392	tensor(0.0447, device='cuda:0')	0.99	1e-06	[8]	[7]
0	17	-391	tensor(0.0086, device='cuda:0')	1.0	1e-06	[]	[]
0	18	-390	tensor(0.0656, device='cuda:0')	0.98	1e-06	[12 13]	[10 14]
0	19	-389	tensor(0.0129, device='cuda:0')	1.0	1e-06	[]	[]
0	20	-388	tensor(0.0316, device='cuda:0')	0.99	1e-06	[16]	[0]
0	21	-387	tensor(0.0284, device='cuda:0')	0.99	1e-06	[5]	[6]
0	22	-386	tensor(0.0238, device='cuda:0')	0.99	1e-06	[9]	[10]
0	23	-385	tensor(0.0653, device='cuda:0')	0.97	1e-06	[6 1 0]	[ 0  3 16]
0	24	-384	tensor(0.0284, device='cuda:0')	0.99	1e-06	[6]	[5]
0	25	-383	tensor(0.0419, device='cuda:0')	0.98	1e-06	[15  5]	[0 6]
0	26	-382	tensor(0.0247, device='cuda:0')	1.0	1e-06	[]	[]
0	27	-381	tensor(0.0549, device='cuda:0')	0.99	1e-06	[11]	[9]
0	28	-380	tensor(0.0369, device='cuda:0')	0.97	1e-06	[ 0 12  0]	[ 4 11  6]
0	29	-379	tensor(0.0856, device='cuda:0')	0.98	1e-06	[0 2]	[17  4]
0	30	-378	tensor(0.0828, device='cuda:0')	0.97	1e-06	[0 8 8]	[16  0  0]
0	31	-377	tensor(0.0564, device='cuda:0')	0.98	1e-06	[ 4 13]	[ 2 14]
0	32	-376	tensor(0.0529, device='cuda:0')	0.98	1e-06	[7 4]	[0 2]
0	33	-375	tensor(0.0436, device='cuda:0')	0.99	1e-06	[9]	[17]
0	34	-374	tensor(0.0397, device='cuda:0')	0.99	1e-06	[11]	[12]
0	35	-373	tensor(0.0337, device='cuda:0')	0.99	1e-06	[4]	[0]
0	36	-372	tensor(0.0085, device='cuda:0')	1.0	1e-06	[]	[]
0	37	-371	tensor(0.0543, device='cuda:0')	0.99	1e-06	[1]	[15]
0	38	-370	tensor(0.0603, device='cuda:0')	0.99	1e-06	[11]	[13]
0	39	-369	tensor(0.0491, device='cuda:0')	0.99	1e-06	[11]	[12]
0	40	-368	tensor(0.0596, device='cuda:0')	0.99	1e-06	[13]	[9]
0	41	-367	tensor(0.1000, device='cuda:0')	0.97	1e-06	[6 5 1]	[0 6 0]
0	42	-366	tensor(0.0211, device='cuda:0')	0.99	1e-06	[0]	[9]
0	43	-365	tensor(0.0508, device='cuda:0')	0.98	1e-06	[10  0]	[9 3]
0	44	-364	tensor(0.0283, device='cuda:0')	1.0	1e-06	[]	[]
0	45	-363	tensor(0.0702, device='cuda:0')	0.96	1e-06	[ 9 12 11  3]	[11 11 13  0]
0	46	-362	tensor(0.0231, device='cuda:0')	1.0	1e-06	[]	[]
0	47	-361	tensor(0.0126, device='cuda:0')	1.0	1e-06	[]	[]
0	48	-360	tensor(0.0129, device='cuda:0')	1.0	1e-06	[]	[]
0	49	-359	tensor(0.0563, device='cuda:0')	0.99	1e-06	[3]	[1]
0	50	-358	tensor(0.0183, device='cuda:0')	1.0	1e-06	[]	[]
0	51	-357	tensor(0.0664, device='cuda:0')	0.97	1e-06	[1 6 0]	[15  0 11]
0	52	-356	tensor(0.0592, device='cuda:0')	0.98	1e-06	[9 0]	[10 15]
0	53	-355	tensor(0.0777, device='cuda:0')	0.97	1e-06	[9 4 9]	[0 0 0]
0	54	-354	tensor(0.0102, device='cuda:0')	1.0	1e-06	[]	[]
0	55	-353	tensor(0.0454, device='cuda:0')	0.98	1e-06	[13  7]	[14  8]
0	56	-352	tensor(0.0496, device='cuda:0')	0.99	1e-06	[12]	[11]
0	57	-351	tensor(0.0294, device='cuda:0')	0.99	1e-06	[11]	[13]
0	58	-350	tensor(0.0399, device='cuda:0')	0.99	1e-06	[15]	[0]
0	59	-349	tensor(0.0310, device='cuda:0')	0.99	1e-06	[0]	[5]
0	60	-348	tensor(0.0619, device='cuda:0')	0.97	1e-06	[9 0 5]	[10  5  6]
0	61	-347	tensor(0.0754, device='cuda:0')	0.98	1e-06	[ 0 14]	[16  0]
0	62	-346	tensor(0.0104, device='cuda:0')	1.0	1e-06	[]	[]
0	63	-345	tensor(0.0303, device='cuda:0')	0.99	1e-06	[5]	[7]
0	64	-344	tensor(0.0553, device='cuda:0')	0.97	1e-06	[16 14 11]	[ 0 13  0]
0	65	-343	tensor(0.1462, device='cuda:0')	0.95	1e-06	[0 0 3 0 1]	[ 5  5  1 10  0]
0	66	-342	tensor(0.0339, device='cuda:0')	0.99	1e-06	[11]	[12]
0	67	-341	tensor(0.0318, device='cuda:0')	0.99	1e-06	[1]	[3]
0	68	-340	tensor(0.0796, device='cuda:0')	0.97	1e-06	[13  0  0]	[14  5  5]
0	69	-339	tensor(0.0632, device='cuda:0')	0.98	1e-06	[ 4 11]	[0 0]
0	70	-338	tensor(0.0639, device='cuda:0')	0.98	1e-06	[ 9 14]	[11  0]
0	71	-337	tensor(0.0717, device='cuda:0')	0.97	1e-06	[15  5  5]	[0 6 7]
0	72	-336	tensor(0.1436, device='cuda:0')	0.96	1e-06	[ 4  7  6 14]	[3 0 8 0]
0	73	-335	tensor(0.0198, device='cuda:0')	1.0	1e-06	[]	[]
0	74	-334	tensor(0.0730, device='cuda:0')	0.97	1e-06	[ 7 15  1]	[8 0 0]
0	75	-333	tensor(0.0134, device='cuda:0')	1.0	1e-06	[]	[]
0	76	-332	tensor(0.0439, device='cuda:0')	0.99	1e-06	[12]	[0]
0	77	-331	tensor(0.0315, device='cuda:0')	0.99	1e-06	[14]	[13]
0	78	-330	tensor(0.0382, device='cuda:0')	0.98	1e-06	[15 11]	[0 0]
0	79	-329	tensor(0.0335, device='cuda:0')	0.99	1e-06	[12]	[10]
0	80	-328	tensor(0.0201, device='cuda:0')	0.99	1e-06	[11]	[12]
0	81	-327	tensor(0.0410, device='cuda:0')	0.98	1e-06	[8 9]	[ 0 10]
0	82	-326	tensor(0.0151, device='cuda:0')	1.0	1e-06	[]	[]
0	83	-325	tensor(0.0105, device='cuda:0')	1.0	1e-06	[]	[]
0	84	-324	tensor(0.0183, device='cuda:0')	0.99	1e-06	[2]	[4]
0	85	-323	tensor(0.0275, device='cuda:0')	1.0	1e-06	[]	[]
0	86	-322	tensor(0.0575, device='cuda:0')	0.98	1e-06	[ 8 17]	[0 0]
0	87	-321	tensor(0.0202, device='cuda:0')	1.0	1e-06	[]	[]
0	88	-320	tensor(0.0731, device='cuda:0')	0.96	1e-06	[ 6 10 15 11]	[ 5  9  0 12]
0	89	-319	tensor(0.0428, device='cuda:0')	0.99	1e-06	[0]	[15]
0	90	-318	tensor(0.0485, device='cuda:0')	0.98	1e-06	[0 9]	[13 10]
0	91	-317	tensor(0.1181, device='cuda:0')	0.95	1e-06	[9 6 6 9 4]	[10  0  0 10  0]
0	92	-316	tensor(0.0253, device='cuda:0')	0.99	1e-06	[17]	[0]
0	93	-315	tensor(0.0399, device='cuda:0')	0.98	1e-06	[8 4]	[7 0]
0	94	-314	tensor(0.0552, device='cuda:0')	0.98	1e-06	[8 7]	[0 0]
0	95	-313	tensor(0.0082, device='cuda:0')	1.0	1e-06	[]	[]
0	96	-312	tensor(0.0254, device='cuda:0')	0.98	1e-06	[ 7 10]	[8 9]
0	97	-311	tensor(0.0319, device='cuda:0')	0.99	1e-06	[9]	[10]
0	98	-310	tensor(0.0397, device='cuda:0')	0.99	1e-06	[11]	[12]
0	99	-309	tensor(0.0178, device='cuda:0')	1.0	1e-06	[]	[]
0	100	-308	tensor(0.0661, device='cuda:0')	0.98	1e-06	[14 14]	[12 13]
0	101	-307	tensor(0.0632, device='cuda:0')	0.98	1e-06	[17 10]	[0 9]
0	102	-306	tensor(0.0295, device='cuda:0')	0.99	1e-06	[15]	[0]
0	103	-305	tensor(0.0125, device='cuda:0')	1.0	1e-06	[]	[]
0	104	-304	tensor(0.0407, device='cuda:0')	0.99	1e-06	[17]	[0]
0	105	-303	tensor(0.0367, device='cuda:0')	0.99	1e-06	[10]	[0]
0	106	-302	tensor(0.0249, device='cuda:0')	0.99	1e-06	[12]	[11]
0	107	-301	tensor(0.0437, device='cuda:0')	0.99	1e-06	[16]	[0]
0	108	-300	tensor(0.0302, device='cuda:0')	0.99	1e-06	[4]	[0]
0	109	-299	tensor(0.0396, device='cuda:0')	0.99	1e-06	[13]	[14]
0	110	-298	tensor(0.0380, device='cuda:0')	0.99	1e-06	[10]	[17]
0	111	-297	tensor(0.0568, device='cuda:0')	0.98	1e-06	[4 0]	[ 2 14]
0	112	-296	tensor(0.0344, device='cuda:0')	0.98	1e-06	[ 3 12]	[ 0 11]
0	113	-295	tensor(0.0235, device='cuda:0')	0.99	1e-06	[5]	[6]
0	114	-294	tensor(0.0507, device='cuda:0')	0.99	1e-06	[16]	[0]
0	115	-293	tensor(0.0229, device='cuda:0')	1.0	1e-06	[]	[]
0	116	-292	tensor(0.0489, device='cuda:0')	0.98	1e-06	[0 0]	[ 5 16]
0	117	-291	tensor(0.0707, device='cuda:0')	0.98	1e-06	[ 6 12]	[5 0]
0	118	-290	tensor(0.0378, device='cuda:0')	0.99	1e-06	[11]	[12]
0	119	-289	tensor(0.0615, device='cuda:0')	0.99	1e-06	[10]	[9]
0	120	-288	tensor(0.0570, device='cuda:0')	0.98	1e-06	[11  0]	[12 16]
0	121	-287	tensor(0.0458, device='cuda:0')	0.99	1e-06	[14]	[13]
0	122	-286	tensor(0.0549, device='cuda:0')	0.99	1e-06	[4]	[0]
0	123	-285	tensor(0.0919, device='cuda:0')	0.96	1e-06	[15  2 11 14]	[ 0  4 13 13]
0	124	-284	tensor(0.0492, device='cuda:0')	0.99	1e-06	[10]	[0]
0	125	-283	tensor(0.0574, device='cuda:0')	0.97	1e-06	[14  1 16]	[13  0  0]
0	126	-282	tensor(0.0484, device='cuda:0')	0.98	1e-06	[16  0]	[0 1]
0	127	-281	tensor(0.0205, device='cuda:0')	1.0	1e-06	[]	[]
0	128	-280	tensor(0.0534, device='cuda:0')	0.97	1e-06	[8 0 9]	[11 13 10]
0	129	-279	tensor(0.0196, device='cuda:0')	0.99	1e-06	[1]	[3]
0	130	-278	tensor(0.0842, device='cuda:0')	0.95	1e-06	[ 8 11  0 14  0]	[13 12  1 13 14]
0	131	-277	tensor(0.0253, device='cuda:0')	1.0	1e-06	[]	[]
0	132	-276	tensor(0.0393, device='cuda:0')	0.99	1e-06	[8]	[7]
0	133	-275	tensor(0.0185, device='cuda:0')	1.0	1e-06	[]	[]
0	134	-274	tensor(0.0541, device='cuda:0')	0.98	1e-06	[ 1 16]	[0 0]
0	135	-273	tensor(0.0489, device='cuda:0')	0.98	1e-06	[10  5]	[9 6]
0	136	-272	tensor(0.0577, device='cuda:0')	0.97	1e-06	[11  0  0]	[12  1 16]
0	137	-271	tensor(0.0377, device='cuda:0')	0.99	1e-06	[13]	[7]
0	138	-270	tensor(0.0290, device='cuda:0')	0.99	1e-06	[13]	[14]
0	139	-269	tensor(0.0567, device='cuda:0')	0.99	1e-06	[2]	[4]
0	140	-268	tensor(0.0236, device='cuda:0')	1.0	1e-06	[]	[]
0	141	-267	tensor(0.0378, device='cuda:0')	0.99	1e-06	[11]	[12]
0	142	-266	tensor(0.0323, device='cuda:0')	0.99	1e-06	[4]	[0]
0	143	-265	tensor(0.0106, device='cuda:0')	1.0	1e-06	[]	[]
0	144	-264	tensor(0.0333, device='cuda:0')	0.98	1e-06	[ 3 15]	[1 0]
0	145	-263	tensor(0.0625, device='cuda:0')	0.99	1e-06	[11]	[13]
0	146	-262	tensor(0.0327, device='cuda:0')	0.99	1e-06	[11]	[0]
0	147	-261	tensor(0.0611, device='cuda:0')	0.98	1e-06	[0 2]	[8 4]
0	148	-260	tensor(0.0418, device='cuda:0')	0.99	1e-06	[7]	[8]
0	149	-259	tensor(0.0119, device='cuda:0')	1.0	1e-06	[]	[]
0	150	-258	tensor(0.0577, device='cuda:0')	0.98	1e-06	[1 5]	[0 6]
0	151	-257	tensor(0.0458, device='cuda:0')	0.97	1e-06	[13  6  9]	[14  5 10]
0	152	-256	tensor(0.0730, device='cuda:0')	0.96	1e-06	[14  8 10 16]	[13  0 11  0]
0	153	-255	tensor(0.0690, device='cuda:0')	0.98	1e-06	[6 4]	[0 0]
0	154	-254	tensor(0.0383, device='cuda:0')	0.99	1e-06	[14]	[13]
0	155	-253	tensor(0.0387, device='cuda:0')	0.99	1e-06	[10]	[12]
0	156	-252	tensor(0.0550, device='cuda:0')	0.99	1e-06	[10]	[12]
0	157	-251	tensor(0.0265, device='cuda:0')	1.0	1e-06	[]	[]
0	158	-250	tensor(0.0528, device='cuda:0')	0.98	1e-06	[ 0 11]	[ 2 12]
0	159	-249	tensor(0.0464, device='cuda:0')	0.98	1e-06	[6 9]	[5 0]
0	160	-248	tensor(0.1058, device='cuda:0')	0.97	1e-06	[0 0 8]	[10 16  7]
0	161	-247	tensor(0.0314, device='cuda:0')	0.98	1e-06	[17  0]	[0 1]
0	162	-246	tensor(0.0371, device='cuda:0')	0.99	1e-06	[5]	[6]
0	163	-245	tensor(0.0122, device='cuda:0')	1.0	1e-06	[]	[]
0	164	-244	tensor(0.0123, device='cuda:0')	1.0	1e-06	[]	[]
0	165	-243	tensor(0.0608, device='cuda:0')	0.98	1e-06	[5 0]	[0 5]
0	166	-242	tensor(0.0749, device='cuda:0')	0.97	1e-06	[ 6  8 16]	[5 0 0]
0	167	-241	tensor(0.0182, device='cuda:0')	1.0	1e-06	[]	[]
0	168	-240	tensor(0.0290, device='cuda:0')	1.0	1e-06	[]	[]
0	169	-239	tensor(0.0331, device='cuda:0')	0.98	1e-06	[0 0]	[4 3]
0	170	-238	tensor(0.0639, device='cuda:0')	0.97	1e-06	[ 4  5 12]	[ 0  6 10]
0	171	-237	tensor(0.0700, device='cuda:0')	0.98	1e-06	[8 0]	[9 9]
0	172	-236	tensor(0.0451, device='cuda:0')	0.98	1e-06	[10 11]	[12 12]
0	173	-235	tensor(0.0212, device='cuda:0')	1.0	1e-06	[]	[]
0	174	-234	tensor(0.0362, device='cuda:0')	0.99	1e-06	[0]	[16]
0	175	-233	tensor(0.0209, device='cuda:0')	0.99	1e-06	[10]	[9]
0	176	-232	tensor(0.0204, device='cuda:0')	1.0	1e-06	[]	[]
0	177	-231	tensor(0.0505, device='cuda:0')	0.99	1e-06	[0]	[6]
0	178	-230	tensor(0.1149, device='cuda:0')	0.94	1e-06	[12  0  6 11  1 14]	[11 16  5 12  0 13]
0	179	-229	tensor(0.0301, device='cuda:0')	0.98	1e-06	[ 0 12]	[16 10]
0	180	-228	tensor(0.0460, device='cuda:0')	0.98	1e-06	[10  8]	[9 0]
0	181	-227	tensor(0.0274, device='cuda:0')	1.0	1e-06	[]	[]
0	182	-226	tensor(0.0290, device='cuda:0')	0.99	1e-06	[15]	[0]
0	183	-225	tensor(0.0325, device='cuda:0')	1.0	1e-06	[]	[]
0	184	-224	tensor(0.0403, device='cuda:0')	0.98	1e-06	[11  0]	[12  9]
0	185	-223	tensor(0.0485, device='cuda:0')	0.98	1e-06	[14 14]	[13 13]
0	186	-222	tensor(0.0469, device='cuda:0')	0.98	1e-06	[10  2]	[12  0]
0	187	-221	tensor(0.1034, device='cuda:0')	0.97	1e-06	[0 1 9]	[16  3 10]
0	188	-220	tensor(0.0432, device='cuda:0')	0.98	1e-06	[0 9]	[16 11]
0	189	-219	tensor(0.0432, device='cuda:0')	0.98	1e-06	[ 1 12]	[ 0 11]
0	190	-218	tensor(0.0413, device='cuda:0')	0.98	1e-06	[0 6]	[3 5]
0	191	-217	tensor(0.0169, device='cuda:0')	1.0	1e-06	[]	[]
0	192	-216	tensor(0.0468, device='cuda:0')	0.98	1e-06	[8 6]	[12  5]
0	193	-215	tensor(0.0662, device='cuda:0')	0.97	1e-06	[10 12  9]	[ 9 11 10]
0	194	-214	tensor(0.0830, device='cuda:0')	0.98	1e-06	[9 0]	[10  2]
0	195	-213	tensor(0.0799, device='cuda:0')	0.97	1e-06	[5 7 0]	[ 6  8 13]
0	196	-212	tensor(0.0254, device='cuda:0')	0.99	1e-06	[0]	[16]
0	197	-211	tensor(0.0315, device='cuda:0')	1.0	1e-06	[]	[]
0	198	-210	tensor(0.0689, device='cuda:0')	0.98	1e-06	[9 9]	[ 0 11]
0	199	-209	tensor(0.0508, device='cuda:0')	0.97	1e-06	[7 8 7]	[8 7 0]
0	200	-208	tensor(0.0311, device='cuda:0')	0.99	1e-06	[8]	[0]
0	201	-207	tensor(0.1292, device='cuda:0')	0.96	1e-06	[ 0  0  1 16]	[ 9 16  0  0]
0	202	-206	tensor(0.0806, device='cuda:0')	0.96	1e-06	[ 4 11 16 17]	[ 2 13  0  0]
0	203	-205	tensor(0.0091, device='cuda:0')	1.0	1e-06	[]	[]
0	204	-204	tensor(0.0188, device='cuda:0')	1.0	1e-06	[]	[]
0	205	-203	tensor(0.0328, device='cuda:0')	0.99	1e-06	[0]	[10]
0	206	-202	tensor(0.0847, device='cuda:0')	0.97	1e-06	[ 9  8 11]	[17  7  0]
0	207	-201	tensor(0.0115, device='cuda:0')	1.0	1e-06	[]	[]
0	208	-200	tensor(0.0188, device='cuda:0')	1.0	1e-06	[]	[]
0	209	-199	tensor(0.0687, device='cuda:0')	0.96	1e-06	[ 5 11  6  0]	[ 6 12  7  1]
0	210	-198	tensor(0.0348, device='cuda:0')	0.98	1e-06	[6 8]	[0 0]
0	211	-197	tensor(0.0306, device='cuda:0')	0.99	1e-06	[1]	[0]
0	212	-196	tensor(0.0634, device='cuda:0')	0.98	1e-06	[11 16]	[8 0]
0	213	-195	tensor(0.0612, device='cuda:0')	0.99	1e-06	[5]	[6]
0	214	-194	tensor(0.0396, device='cuda:0')	0.99	1e-06	[0]	[16]
0	215	-193	tensor(0.0557, device='cuda:0')	0.97	1e-06	[10  0  2]	[9 2 4]
0	216	-192	tensor(0.0159, device='cuda:0')	0.99	1e-06	[0]	[6]
0	217	-191	tensor(0.0372, device='cuda:0')	0.98	1e-06	[10 13]	[12 14]
